ouid,foul,injury,redCards,yellowCards,dribble,cornerKick,offsideCount,shootTotal,effectiveShootTotal,goalTotal,shootPenaltyKick,goalPenaltyKick,passTry,passSuccess,shortPassTry,shortPassSuccess,longPassTry,longPassSuccess,throughPassTry,throughPassSuccess,tackleTry,tackleSuccess,blockTry,blockSuccess,possession,averageRating,matchResult,hour
3b5c290d7615ea7c9c6ded787c0bcb3e,1.0,0.0,0.0,0.0,41.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,78.0,58.0,43.0,40.0,6.0,2.0,15.0,8.0,8.0,6.0,11.0,0.0,43.0,3.75,패,21
de507e108de8047aa535c85590ef8d41,0.0,0.0,0.0,0.0,80.0,2.0,1.0,11.0,6.0,1.0,1.0,1.0,151.0,141.0,130.0,127.0,9.0,5.0,11.0,9.0,8.0,7.0,6.0,0.0,57.0,4.42222,승,21
21c2f527bf16ed257b157ef09914e82f,2.0,0.0,0.0,0.0,74.0,4.0,0.0,9.0,8.0,2.0,0.0,0.0,102.0,96.0,73.0,70.0,7.0,5.0,21.0,20.0,23.0,11.0,5.0,0.0,54.0,4.13333,승,21
da6c053ce44675af7eafe3ad7bbee371,1.0,0.0,0.0,0.0,59.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,76.0,72.0,69.0,65.0,0.0,0.0,5.0,5.0,18.0,9.0,8.0,0.0,46.0,3.74444,패,21
c2769a014ad90ebaa35fb6ab4eb254bb,0.0,0.0,0.0,0.0,73.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,128.0,113.0,97.0,92.0,6.0,3.0,20.0,15.0,9.0,4.0,11.0,1.0,50.0,3.86111,패,21
e82bcf28c9bc2efc453c4303e1b62ad3,0.0,0.0,0.0,0.0,70.0,1.0,0.0,8.0,6.0,3.0,0.0,0.0,105.0,94.0,75.0,69.0,6.0,2.0,15.0,15.0,12.0,6.0,8.0,0.0,50.0,4.41111,승,21
327b23e654ceb5d807607a8ad55ea86f,2.0,0.0,0.0,1.0,45.0,4.0,1.0,10.0,6.0,3.0,0.0,0.0,42.0,26.0,11.0,8.0,21.0,9.0,8.0,7.0,18.0,11.0,9.0,0.0,52.0,4.43889,승,21
b7c894f904c3e2ad8750e36beb003592,0.0,0.0,0.0,0.0,72.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,89.0,82.0,67.0,65.0,1.0,0.0,17.0,15.0,5.0,4.0,12.0,1.0,53.0,4.18889,승,21
d6baec4895a1650b111af5cebd264bf3,0.0,1.0,0.0,0.0,84.0,5.0,3.0,7.0,6.0,0.0,0.0,0.0,104.0,96.0,76.0,73.0,6.0,2.0,18.0,18.0,9.0,5.0,2.0,0.0,47.0,3.87778,패,21
0dc0c31dfd1ef7a0cdefd69214f7b642,1.0,0.0,0.0,0.0,63.0,6.0,0.0,14.0,11.0,3.0,0.0,0.0,92.0,79.0,54.0,49.0,18.0,11.0,14.0,13.0,9.0,5.0,17.0,2.0,47.0,4.28889,승,21
