matchId,matchDate,matchType,ouid,nickname,matchResult,possession,averageRating,dribble,cornerKick,offsideCount,shootTotal,effectiveShootTotal,goalTotal,shootPenaltyKick,goalPenaltyKick,passTry,passSuccess,shortPassTry,shortPassSuccess,longPassTry,longPassSuccess,throughPassTry,throughPassSuccess,tackleTry,tackleSuccess,blockTry,blockSuccess,goalTime,x,y,type,result,spId,assist,assistSpId,hitPost,inPenalty
67e12c1977fc52f011edf4e5,2025-03-24T09:58:49,50,3da50c0a2c9ac1c03788b2674ecc118e,300미터원온,승,53,3.7,19,0,0,2,2,2,0,0,25,18,19,14,0,0,5,4,4,1,0,0,355,0.8369755744934082,0.3797599077224731,2,3,820202126,True,832246669,False,False
67e12c1977fc52f011edf4e5,2025-03-24T09:58:49,50,3da50c0a2c9ac1c03788b2674ecc118e,300미터원온,승,53,3.7,19,0,0,2,2,2,0,0,25,18,19,14,0,0,5,4,4,1,0,0,1174,0.9634389281272888,0.4434882998466492,1,3,820202126,True,832246669,False,True
67e12c1977fc52f011edf4e5,2025-03-24T09:58:49,50,5647d9aa08e20543354c696d8fb5827f,자림이알랴뷰,패,48,3.91111,15,0,0,2,2,2,0,0,14,13,14,13,0,0,0,0,4,3,1,0,214,0.9428013563156128,0.5980520248413086,6,3,101166691,True,270263781,False,True
67e12c1977fc52f011edf4e5,2025-03-24T09:58:49,50,5647d9aa08e20543354c696d8fb5827f,자림이알랴뷰,패,48,3.91111,15,0,0,2,2,2,0,0,14,13,14,13,0,0,0,0,4,3,1,0,641,0.8997426629066467,0.3940836489200592,6,3,101166691,True,101190043,False,True
67e12c16c29d7adf4363ad6c,2025-03-24T09:58:44,50,272fd29bd24f9bc463eaca4310b4a4a8,스포츠밴드,승,47,3.90556,13,0,0,1,1,1,0,0,14,13,13,12,0,0,1,1,1,0,4,0,711,0.9030398726463318,0.4353661239147186,6,3,810237692,True,810186942,False,True
67e12c0131c84343469aa2ea,2025-03-24T09:59:29,50,438d72812bc2591d7e94af0cac3e40bf,아스널풋볼,패,47,3.38333,28,1,1,3,3,0,0,0,29,28,14,14,2,1,13,13,6,2,2,0,225,0.8831273317337036,0.6117210984230042,6,1,291230666,True,820222665,False,True
67e12c0131c84343469aa2ea,2025-03-24T09:59:29,50,438d72812bc2591d7e94af0cac3e40bf,아스널풋볼,패,47,3.38333,28,1,1,3,3,0,0,0,29,28,14,14,2,1,13,13,6,2,2,0,1112,0.9618619680404664,0.669925332069397,4,1,291230666,True,829234378,False,True
67e12c0131c84343469aa2ea,2025-03-24T09:59:29,50,438d72812bc2591d7e94af0cac3e40bf,아스널풋볼,패,47,3.38333,28,1,1,3,3,0,0,0,29,28,14,14,2,1,13,13,6,2,2,0,528,0.92401099205017,0.6159329414367676,7,1,826225193,False,-1,False,True
67e12c0131c84343469aa2ea,2025-03-24T09:59:29,50,679e57040a124f6519d283ea52758435,잉글징글랜드,승,53,4.58889,25,0,0,4,4,3,0,0,35,32,26,23,0,0,4,4,2,2,5,1,1312,0.88852709531784,0.5055616497993469,2,1,832277643,False,-1,False,True
67e12c0131c84343469aa2ea,2025-03-24T09:59:29,50,679e57040a124f6519d283ea52758435,잉글징글랜드,승,53,4.58889,25,0,0,4,4,3,0,0,35,32,26,23,0,0,4,4,2,2,5,1,654,0.942174792289734,0.4026621878147125,6,3,832188545,True,832233419,False,True
